reviewId,author_name,rating,reviewTitle,review_text,date,care_type,URL,Property Name,Property Address,City,State,Zip Code,Category
1422318,Tammy K,4.0,Mom is happy and safe!!!,"My mom was not interested in moving into any sort of assisted living UNTIL I took her to visit Abode Care of Allentown.  In the lobby there was a sign welcoming us to which mom said ""they want you to feel at home here"".  The head of marketing gave us the tour of the facility and by the end of the tour mom said ""when can I move in""?  I was stunned and amazed because of the drive over, she wanted NOTHING to do with it.   Mom moved into to her new home 3 weeks later and has no regrets.   She feels safe and constantly tells us how happy she is there.   She has made friends, enjoys the courtyard, and participates in some of the activities.   Everyone has made her feel welcome.  I provide regular feedback to the staff and they are always receptive and looking for ways to improve.  Mom is happy and safe, I couldn't ask for more.  I am thankful for the team at Abode for making this transition smooth and taking care of my mom.  I no longer need to worry as I know she is in good hands.   ",2023-05-27T00:51:14.000Z,Assisted Living,https://www.aplaceformom.com/community/abode-care-of-allentown-62838,Abode Care of Allentown,"2232 29th Street Southwest, Allentown, PA 18103",allentown,pennsylvania,18103,nursing-homes
1118224,Anonymous,5.0,Mom loves it!,"My mother is currently in this community. She loves it! The staff are friendly and responsive to her needs. They are making positive changes, brought in a new director who is hands on with the residents and the staff, and are bringing in an RN to add more clinical experience to the nursing department. This has been a joy for mom, and for us!",2016-12-29T16:43:38.000Z,Memory Care,https://www.aplaceformom.com/community/the-windsor-at-san-pablo-1367975,The Windsor at San Pablo,"4000 San Pablo Pkwy, Jacksonville, FL 32224",jacksonville,florida,32224,nursing-homes
1468575,Anonymous,4.0,A great blend of independence and assistance. Amazing cooks. ,"The staff are patient and personable. Not as much active activity as my grandmother expected from the way management sold us on the facility, but the actual staff is kind, wonderful chef and housekeeping 
",2024-04-11T13:51:00.000Z,Assisted Living,https://www.aplaceformom.com/community/hayes-manor-retirement-residence-63024,Hayes Manor Retirement Residence,"2210 Belmont Ave, Philadelphia, PA 19131",philadelphia,pennsylvania,19131,nursing-homes
1244004,Anonymous,5.0,Review of Magnolia Springs,"""Top!"" senior living because of people here. Following based on score of 1-10 (10 being best):
Staff: 10 - love them
Residents: 10 - know names and greet daily with love
Helpers: 10 - very nice, smiling and always there
Waiters and kitchen staff: 10 - smart, there for you

We came for food - the dining room. If we are up 8hrs/day we easily could spend 3 hours in dining room. We are old, like the food we grew up with. 

Food: 8.5-9",2018-10-02T21:06:03.000Z,Memory Care,https://www.aplaceformom.com/community/magnolia-springs-bridgewater-1363834,Magnolia Springs Bridgewater,"14901 Carey Road, Carmel, IN 46033",carmel,indiana,46033,nursing-homes
1077856,Tanya Clarke,5.0,Serenity is a wonderful choice.,"I can't stress enough how pleased I am with the care that my mother receives here. My mother-in-law was also at this house a few years ago before passing away from Parkinson's related issues. I have never had a problem or concern that the staff hasn't addressed immediately. The food is wonderful, nutritious and well balanced. The house is always immaculately clean and there is a huge effort to make this a place where it is as much like a ""family"" as possible. It is such a painful decision to make when you feel that your loved one needs to be in an alternate care situation, but I think that the homeiness of Serenity is certainly 2nd best and often provides better care than you can yourself.",2014-07-12T02:49:06.000Z,Memory Care,https://www.aplaceformom.com/community/serenity-house-ix-144705,Serenity House IX,"6128 S Iola Way, Englewood, CO 80111",littleton,colorado,80111,care-homes
1088625,A Place For Mom Customer,5.0,Nice property.  Clean and very nice s...,Nice property.  Clean and very nice staff.  ,2012-12-21T16:02:06.000Z,Residential Care Home,https://www.aplaceformom.com/community/country-club-north-150288,Country Club North,"654  Lillian Way Ave, Los Angeles, CA 90004",beverly-hills,california,90004,care-homes
1203592,denis parkhurst,5.0,great choice here,"Very spacious private rooms w/ high ceilings, huge great room, three care givers, great patio in back yard with many tall trees.  Pricing is comparable with others I visited, but much better venue. Owner is a nurse.",2015-11-29T02:22:11.000Z,Memory Care,https://www.aplaceformom.com/community/marlin-manors-iv-98104,Marlin Manors IV,"5010 Fulton Ave., Sherman Oaks, CA 91423",beverly-hills,california,91423,care-homes
1201208,Patsy Swain,5.0,Review of Northridge Gracious Retirement Living,"I love it here. I have been very happy since moving back home. Starting with the staff whom go above and beyond what I believe would be working their job description. It's made evident that they love what they do. It's personal, the activities have a broad range of choices. They are limitless. Having staff whom live on site is absolutely a positive. It has a huge impact.",2019-10-29T19:15:24.000Z,Independent Living,https://www.aplaceformom.com/community/northridge-gracious-retirement-living-1368878,Northridge Gracious Retirement Living,"14532 Allisonville Road, Fishers, IN 46038",fishers,indiana,46038,independent-living
1400732,Ann,1.0,WORSE PLACE TO LIVE!,"My mom lives here and it is terrible! They are having box food for Christmas with a choice of tuna salad or egg salad, can you believe that!  They never have special Holiday meals and the meals are always cold.   
They hardly have any fun activities to do.  They always make necklaces and bracelets to sell so that Brookdale can get money.  For Christmas, they haven't done anything.  You would think that they would make gingerbread houses at least.
They have Happy Hour and they will pass out a piece of candy or a sliver of cake.  They always play trivia games and never anything else.  My mom hates Trivia so it isn't fun for her. They are so cheap!
They never play fun music or have bands.  They will hire a violinist or solo musician and that is it.
Please don't put your loved one here!!!
",2022-12-19T15:55:27.000Z,Independent Living,https://www.aplaceformom.com/community/brookdale-vernon-hills-97380,Brookdale Vernon Hills,"145 North Milwaukee Avenue, Vernon Hills, IL 60061",arlington-heights,illinois,60061,nursing-homes
1132064,Anonymous,4.0,I would recommend this community.,"Mom is still adjusting to living at this community. The staff have been very nice, encouraging and attentive.  Mom seems to like the food, however she has not yet started to participate in any of the activities offered. They keep the community well taken care of.",2017-06-13T17:22:57.000Z,Memory Care,https://www.aplaceformom.com/community/brookdale-brookfield-assisted-living-crossings-100742,Brookdale Brookfield Assisted Living/Crossings,"660 Woelfel Road, Brookfield, WI 53045",milwaukee,wisconsin,53045,independent-living
1319441,Liz,5.0,Excellent Place!!!,"My father had excellent care at this facility!  Excellent food, caring staff would recommend this place!",2015-03-11T00:06:43.000Z,Memory Care,https://www.aplaceformom.com/community/the-lakes-of-monclova-1377257,The Lakes of Monclova,"6935 Monclova Rd, Maumee, OH 43537",toledo,ohio,43537,nursing-homes
1142000,Anonymous,1.0,not interested b/c of location,not interested b/c of location,2014-05-13T16:03:26.000Z,Memory Care,https://www.aplaceformom.com/community/brookdale-oklahoma-city-southwest-72693,Brookdale Oklahoma City Southwest,"10001 South May Avenue, Oklahoma City, OK 73159",oklahoma-city,oklahoma,73159,nursing-homes
1155885,Anonymous,4.0,The administration staff has been real nice,"Overall, the administration staff has been real nice. I've had some trouble with the administration of medications, which is the handing out of the medications. The food i'm not impressed with at all. The other staff is friendly but I have seen friendlier. The facility is always very clean. They do a good job at cleaning it. They do offer activities, but I have seen better activities at other facilities.",2015-06-04T21:22:21.000Z,Memory Care,https://www.aplaceformom.com/community/myrtle-beach-grove-senior-living-80938,Myrtle Beach Grove Senior Living,"3620 Happy Woods Ct, Myrtle Beach, SC 29588",myrtle-beach,south-carolina,29588,independent-living
1157725,Anonymous,3.5,"I like it, but there have been a few minor issues.","I like it, but there have been a few minor issues. It's been tough getting some medical testing done in a timely manor. Getting some of the basic care needs accomplished regularly, like bathing hasn't been entirely consistent. The billing has been a little bit off. The numbers I was given at the beginning are way off compared to what I saw on the bill. I have had a difficult time getting a response. In the beginning I got an email that if we enrolled by a certain date, we could qualify for a reduction in rent the following month, and I haven't heard anything back yet either way. Other than that she is very happy there, she has acclimated and made friends, and is definitely more active. Her health has improved a little. They are very friendly. I never get complaints about the food, she is always excited when it comes to meals, I think she likes to socialize. It's working out pretty well.",2014-12-16T23:06:39.000Z,Memory Care,https://www.aplaceformom.com/community/brookdale-central-chandler-96634,Brookdale Central Chandler,"1919 West Carla Vista Drive, Chandler, AZ 85224",chandler,arizona,85224,nursing-homes
1295695,Kevin,5.0,Happy with Everything,"The staff has been very engaged and caring. We're just very pleased with Cornerstone. My mother goes to church service which is good and she's gone to some of the movies. She's gone to when there is music in the common area. I'm not sure if she went on one of the shopping junkets but I know that's an available activity. She makes use of the on site beautician, which she finds convenient, and goes to the doctor who comes on site. My mom is happy with everything. The only thing she says about the food is they give her too much and my advice to her is to eat all of it.",2013-08-26T15:44:15.000Z,Memory Care,https://www.aplaceformom.com/community/cornerstone-assisted-living-of-plymouth-100164,Cornerstone Assisted Living of Plymouth,"3750 Lawndale Lane N, Plymouth, MN 55446",minnetonka,minnesota,55446,nursing-homes
1413093,anonymous,4.0,Hilltop Delivers Excellent Care For Residents And  Peace Of Mind For Families ,I have been well pleased with Hilltop Memory Care. My only concern has been difficulty in reaching staff. I received a voicemail expressing concern about my husband and was unable to reach anyone for over 12 hours. I hope this problem has been addressed. The director has assured me that my complaint about non availability of staff has brought about policy change and the problem has been resolved. ,2023-03-23T18:47:36.000Z,Memory Care,https://www.aplaceformom.com/community/hilltop-of-greenville-memory-care-1389411,Hilltop of Greenville Memory Care,"352 Pelham Rd, Greenville, SC 29615",greenville,south-carolina,29615,nursing-homes
1397282,anonymous,4.0,Community Tour,"Fairmont Village seemed a little frenetic for my loved one.  It had a lot of people in a big place.  But the staff was very friendly.  I loved the concept of them having an extra room for those who really need it - an area to calm someone who was agitated.  But for our needs, it just seemed a little less cozy and more frenetic than other places we toured. ",2022-12-05T22:13:58.000Z,Memory Care,https://www.aplaceformom.com/community/fairmont-village-53404,Fairmont Village,"10401 N 79th Ave, Peoria, AZ 85345",glendale,arizona,85345,nursing-homes
1372432,Doug P,5.0,A wonderful atmosphere for our family members to live and thrive,"Hello, my name is [name removed].

I currently perform for the Anthology residents once a month during a happy hour event.

I can say a few great things about Anthology based on my experience during these events.

First off, the campus always looks great!

The residents always seem to be in a great mood, ready to sing along, dance or just listen to the music.

The staff always seems attentive to the needs of the residents.

If you have not checked out Anthology yet for your family member(s), I highly recommend you scheduling a visit today!",2022-06-16T15:13:35.000Z,Assisted Living,https://www.aplaceformom.com/community/the-ashton-on-dorsey-1409416,The Ashton on Dorsey,"1105 Dorsey Lane, Louisville, KY 40223",louisville,kentucky,40223,nursing-homes
1145070,Constance,1.5,Legacy Retirement,Great transportation. Good location.  The building and grounds are well kept. The lobby and downstairs is pretty nice. However the rooms and the halls are dated and old with dirt colored colors. It makes for not a very peaceful environment. They are repainting and updating some of the rooms as the residents move out. Hopefully they will do the halls soon.  The food is not good. Service to get the food is very slow. They do not have high speed internet...if many people use it it is so slow you might as well give up. The activities are good and they have a variety. Really nice people live here. We have had a bedbug problem they are trying to fix and finally we smell gas a lot from the kitchen. When I ask about it they always tell me not to worry about it.,2018-12-08T04:02:15.000Z,Independent Living,https://www.aplaceformom.com/community/legacy-retirement-residence-70863,Legacy Retirement Residence,"1617 W Temple Ln (10200 South), South Jordan, UT 84095",west-jordan,utah,84095,independent-living
1186001,a.tseko,0.5,be careful and really do your homework befire signing paperwork,"Our dad is in longterm care. We have found him in the floor, fallen out of the bed and no one around to help us and no answers to why his safety is not a concern. Staff is uneducated, you can not tell who is the CNA is  verses who have a degree in administration / social work. I am a social worker myself, and I have been in many homes. This is by far the most frustrating place for your loved one to call ""home"". Collecting a pay check is the only concern!",2015-03-21T11:45:41.000Z,Memory Care,https://www.aplaceformom.com/community/brookdale-university-park-82213,Brookdale University Park,"400 University Park Drive, Homewood, AL 35209",birmingham,alabama,35209,independent-living
1248510,Mrs X,0.5,Very poor facility based on experience,"Very disappointed in this ALF. Mom lived here for 2 years. It was good when there were few residents, however as management, chef & employees left and it became more populated, care was sacrificed to a great extent. The place began to smell as residents were left in soiled clothes, laundry was done on a “quick wash” leaving it smelly and still soiled. Food was the equivalent to a truck stop, with breakfast being the only satisfactory meal. Lunch & dinner were heavy, dry pasta, meat, potatoes & bread with a few soggy vegetables. Fruit, when available was canned peaches, pears or fruit cocktail. It was not a menu that the elderly would choose, had they the ability to do so. There are also functional obsolescences throughout the facility. The bathrooms are so small it is nearly impossible to accommodate a wheelchair. There is no protection from weather when taking a resident from the memory care facility and no automatic doors that stay open while maneuvering a wheelchair. The dining area is too small to accommodate full residency so some residents are put alone in common areas to eat. The staff quickly puts residents in their rooms to “nap” even if they don’t “nap” after lunch, I assume in an effort to keep the common area uncrowded. There are just too many negative issues to address. Management is confrontational and quick to threaten expulsion hen issues are raised. Do yourself and your elderly loved ones a favor and avoid Anthem Lakes.",2020-01-10T00:48:59.000Z,Memory Care,https://www.aplaceformom.com/community/anthem-lakes-1404925,Anthem Lakes,"905 Assisi Ln, Atlantic Beach, FL 32233",jacksonville,florida,32233,nursing-homes
1226486,Anonymous,4.0,Friendly staff members !!,We have been using the services from this company for my mom for a while now and we are very happy so far with everything they have done for her. The caregivers that come to the home are always on time and very friendly. They accommodate her needs and make sure they can do there best to make sure she stays as comfortable as possible. I would recommend this home health care company to anyone in need of there services,2017-01-04T21:42:11.000Z,Home Care,https://www.aplaceformom.com/community/affordable-family-care-services-inc-raleigh-nc-1352076,"Affordable Family Care Services, Inc - Raleigh, NC","114 Windchime CT, Raleigh, NC 27615",durham,north-carolina,27615,home-care
1271992,Anonymous,5.0,Security is excellent and great floor plan!,The security is good. The Fllorplan is setup really well for the needs of everyone there.,2015-09-16T02:01:40.000Z,Memory Care,https://www.aplaceformom.com/community/vesta-afh-139352,Vesta AFH,"5910 W Redcloud Court, Spokane, WA 99208",spokane,washington,99208,care-homes
1304980,Anonymous,4.0,"Nice Tour, But to Far For Us To Travel","My tour of this community was good one. The community appeared to be well maintained. Everything was nice and clean. The staff I met was kind and very helpful to residents. It was nice to see them being attentive to the residents. The location of this community wasn't very convenient for our families to travel. I enjoyed my tour, this is a friendly community.",2016-09-30T19:48:00.000Z,Independent Living,https://www.aplaceformom.com/community/willow-creek-macon-81707,Willow Creek Macon,"2738 Walden Rd, Macon, GA 31216",warner-robins,georgia,31216,independent-living
1310925,Anonymous,4.0,Review of Horizon Health and Rehab Center,"Sometimes, when he calls for a nurse, they don't come right away or the CNA will say they will go get a nurse, and the nurse never comes. The therapist explains thoroughly what to expect. They are very patient with him and they encourage him. My husband does get upset because the nurses don't respond quickly. He has enjoyed the food.",2019-08-21T00:07:07.000Z,Nursing Home,https://www.aplaceformom.com/community/horizon-health-and-rehab-center-1411975,Horizon Health and Rehab Center,"660 S Martin Luther King Blvd, Las Vegas, NV 89106",north-las-vegas,nevada,89106,nursing-homes
1237497,Anonymous,4.0,Our tour,"This looked like a nice community when we toured it a while back.  The people were nice and friendly.  They offer independent living, assisted living and respite stays. They seem to offer some nice amenities and activities.  We were not ready to move at the time we looked into this community.",2017-07-11T21:51:40.000Z,Senior Apartments,https://www.aplaceformom.com/community/sycamores-terrace-senior-apartments-82628,Sycamores Terrace Senior Apartments,"1427 Lebanon Pike, Nashville, TN 37210",nashville,tennessee,37210,independent-living
1416108,D C,4.0,,"His has been a great experience for my family and loved one.  All the staff and residents are kind, sweet, and welcoming!  They make you feel at ease when you walk in, almost like it is your own home you're waling into.  Overall, I would recommend the community to others. ",2023-04-14T22:29:36.000Z,Independent Living,https://www.aplaceformom.com/community/st-dominic-village-148281,St. Dominic Village,"2401  Holcombe Boulevard, Houston, TX 77021",houston,texas,77021,independent-living
1376766,Dustie P,5.0,Caring and compassionate,I would recommend The lofts At Cogir they are a very caring and compassionate home feeling Facility and always there for their residence. They have a lot of fun activities for their residence to keep their minds sharp and bodies moving witch is very important.,2022-07-24T10:08:37.000Z,Independent Living,https://www.aplaceformom.com/community/the-lofts-by-cogir-1401384,The Lofts by Cogir,"5300 NE 82nd Avenue, Vancouver, WA 98662",vancouver,washington,98662,independent-living
1493964,Ellen C,5.0,Advisor,The advisor helped me find suitable options and even followed up with my inquiry.  It was unfortunate that other communities they sent us too were very aggressive and pushing us to make a decision. Sunrise at Livingston listened and understood and provided resources that the advisor could not. ,2024-09-20T09:02:25.000Z,Assisted Living,https://www.aplaceformom.com/community/sunrise-of-livingston-1452946,Sunrise of Livingston,"290 W S Orange Ave, Livingston, NJ 07039",montclair,new-jersey,7039,independent-living
1236829,Gail,5.0,,"I could not be more pleased with my choice. The Sheridan looks more like a beautiful boutique hotel than an assisted living and memory care facility. The people who work there really care about the residents, the food is fabulous and the activities are amazing and really diverse and fun.  The apartments in assisted living are modern and spacious yet comfortable at the same time.

I would highly recommend The Sheridan as your loved one’s next home ",2019-02-10T18:47:16.000Z,Memory Care,https://www.aplaceformom.com/community/the-sheridan-at-park-ridge-1412200,The Sheridan at Park Ridge,"510 N Greenwood, Park Ridge, IL 60068",arlington-heights,illinois,60068,nursing-homes
1157781,A Place For Mom Customer,5.0,Moved our Mom in!,Moved our Mom in!,2012-12-23T16:01:50.000Z,Memory Care,https://www.aplaceformom.com/community/village-of-westland-independent-living-85946,Village of Westland Independent Living,"32001 Cherry Hill Road, Westland, MI 48186",livonia,michigan,48186,nursing-homes
1296850,Anonymous,3.0,It Appeared Old,When I had a tour of the community I thought that it looked an old and runned down community. I did not think it was nice. The person who gave me the tour was okay with the presentation.,2017-06-19T20:08:37.000Z,Independent Living,https://www.aplaceformom.com/community/greenbriar-at-the-altamont-82202,Greenbriar at the Altamont,"2831 Highland Ave S, Birmingham, AL 35205",birmingham,alabama,35205,independent-living
1144818,Charles ,5.0,Good community ,"Community was pretty competent, would recommend this to a family or friend. We ate there a couple times, the food was pretty adequate would give it a five.",2020-08-10T14:49:26.000Z,Memory Care,https://www.aplaceformom.com/community/brighton-gardens-of-winston-salem-63829,Brighton Gardens of Winston-Salem,"2601 Reynolda Road, Winston-Salem, NC 27106",winston-salem,north-carolina,27106,nursing-homes
1398718,Anonymous,4.0,Beautiful Facility,"It's a beautiful facility. Some of the workers are not too friendly. The dining room food is good for the residents. They have activites such as exercise, golfing and a Japenese singing class. It's very expensive, and the services could be better.",2022-12-12T19:48:37.000Z,Assisted Living,https://www.aplaceformom.com/community/aegis-gardens-newcastle-1413032,Aegis Gardens Newcastle,"13056 SE 76th St, Newcastle, WA 98056",seattle,washington,98056,independent-living
1157113, anonymous,2.5,The Scottish Home,"This wouldn't be the first choice for a parent, if the choice were to be made again. Each time I'd visit, there would be many new faces at any given time.  I talked to the coordinator about the constant turn over of staff. I was told the CNAs don't stay long, because hospitals pay better. Once they get  a hospital job they realize how much more work it is. Don't be surprised to see your loved one with food spilled on their clothes  when you visit. Also, the wheel chair would be filthy, having remnants of spilled food.  I asked about morning hygiene routine, which they were always short on staff. My mother's teeth were brushed only when we brushed them ourselves.  Dinner hour was hard to visit,  people were sitting there who needed to be fed, rarely enough help. I never left there with a dry eye... The Scottish Home is private pay only. I highly recommend to do some serious research before your loved one moves into The Scottish Home. Although, The Scottish Home is always clean.",2018-08-20T23:12:10.000Z,Memory Care,https://www.aplaceformom.com/community/caledonia-senior-living-and-memory-care-89661,Caledonia Senior Living and Memory Care,"2800 Des Plaines Ave, North Riverside, IL 60546",chicago,illinois,60546,nursing-homes
1463000,Anonymous,3.0,Our Experience,"The staff is great. We have a great manager. He steps up and does anything, even cooking and waiting on tables. He even shoveled snow from my car when it wasn't done and I needed to get out. The food is not proper for elderly people, a lot of fried food not enough vegetables mostly asparagus carrots mixed summer squash and hardly any fresh fruit. They say they put it out 3 times a day, but not enough for so many people if you aren't there when they put it out you don't get any. We are spending almost as much for proper food as we did at home. ",2024-03-05T01:23:23.000Z,Independent Living,https://www.aplaceformom.com/community/solstice-senior-living-at-bangor-95132,Solstice Senior Living at Bangor,"922 Ohio Street, Bangor, ME 04401",bangor,maine,4401,independent-living
1235328,Finally stopped looking,5.0,Could diversify activities,"From what we have seen, and we've seen a number of assisted living facilities, it seems to be very clean, the staff that we've encountered appear to be very friendly. The care is very good, just because of my mother in law's condition or situation, we have hired supplementary care just because of her dementia and out wish to be able to maintain her independence for as long as we possibly can. I think they do very well in maintaining a comfortable environment for the individuals who are living there, it's an attractive place, I think it's well laid out. I do think however that their activities probably could be diversified a little. I would like to see more activities that engage in either recalling things from the past or historical facts or word games but kind of geared at a slightly less complex level than what they have now. ",2013-10-07T21:48:00.000Z,Memory Care,https://www.aplaceformom.com/community/sunrise-of-fair-oaks-va-95096,Sunrise of Fair Oaks VA,"3750 Joseph Siewick Drive, Fairfax, VA 22033",fairfax,virginia,22033,independent-living
1168671,A Place For Mom Customer,5.0,"Toured.  Very impressed, but plan on ...","Toured.  Very impressed, but plan on homecare as long as possible",2012-12-17T16:01:12.000Z,Memory Care,https://www.aplaceformom.com/community/santa-marta-151764,Santa Marta,"13875 W 115th Terrace, Olathe, KS 66062",shawnee,kansas,66062,nursing-homes
1143497,A Place For Mom Customer,4.0,Met with Director. Received tour and ...,Met with Director. Received tour and was put on waiting list. Good facility and great location. Might be a little too crowded for my mother's liking.,2012-12-15T16:01:33.000Z,Assisted Living,https://www.aplaceformom.com/community/mary-and-marthas-personal-care-81582,Mary and Martha's Personal Care,"616 Mohawk Street, Rossville, GA 30741",chattanooga,tennessee,30741,independent-living
1445326,Whitney Crawley,5.0,Sunrise Richmond is wonderful!,"Sunrise Richmond is a wonderful community. They are filled with caring, compassionate staff who always put their residents first! I have a special place for Sunrise in my heart! I have visited the community several times and they have always been consistent with the care they provide!",2023-11-17T18:39:53.000Z,Assisted Living,https://www.aplaceformom.com/community/sunrise-of-richmond-79460,Sunrise of Richmond,"1807 North Parham Road, Richmond, VA 23229",richmond,virginia,23229,independent-living
1408487,Anonymous,4.0,Very nice place,"Activities staff does an outstanding job. Front desk staff are very good but strained (understaffed). Common areas could use some regular vacuuming. 
",2023-02-15T15:45:17.000Z,Assisted Living,https://www.aplaceformom.com/community/atria-mount-pleasant-1414089,Atria Mount Pleasant,"601 Solana Way, Mount Pleasant, SC 29464",charleston,south-carolina,29464,independent-living
